source_path,test_id,device,complete_rows,implied_reference_power_mean_dbm,implied_reference_power_sd_db,implied_reference_power_median_dbm,status
Test_1/Test_1_Asus.csv,1,ASUS,0,,,,unavailable_pathloss_column_has_no_values
Test_1/Test_1_S25.csv,1,S25,0,,,,unavailable_pathloss_column_has_no_values
Test_2/Test_2_ASUS.csv,2,ASUS,0,,,,unavailable_pathloss_column_has_no_values
Test_2/Test_2_S25.csv,2,S25,0,,,,unavailable_pathloss_column_has_no_values
Test_3/Test_3_ASUS.csv,3,ASUS,0,,,,unavailable_pathloss_column_has_no_values
Test_3/Test_3_S25.csv,3,S25,0,,,,unavailable_pathloss_column_has_no_values
Test_4/Test_4_ASUS.csv,4,ASUS,0,,,,unavailable_pathloss_column_has_no_values
Test_4/Test_4_S25.csv,4,S25,0,,,,unavailable_pathloss_column_has_no_values
Test_5/Test 5 ASUS.csv,5,ASUS,0,,,,unavailable_pathloss_column_has_no_values
Test_5/Test 5 S25.csv,5,S25,0,,,,unavailable_pathloss_column_has_no_values
Test_6/Test_6_ASUS.csv,6,ASUS,0,,,,unavailable_pathloss_column_has_no_values
Test_6/Test_6_S25.csv,6,S25,0,,,,unavailable_pathloss_column_has_no_values
