trace_id,app,content,candidate_ploss,candidate_noise_power_dB,execution_count,target_rsrp,candidate_ss_rsrp_dbm_segment_mean,candidate_ss_rsrp_dbm_segment_mean_std,rsrp_error,rsrp_absolute_error,target_rsrq,candidate_ss_rsrq_db_segment_mean,candidate_ss_rsrq_db_segment_mean_std,rsrq_error,rsrq_absolute_error,primary_distance,within_declared_tolerance,target_within_observed_primary_range,target_snr_diagnostic,candidate_ss_sinr_db_segment_mean_diagnostic,snr_proxy_error,candidate_latency_ms_p95_mean,candidate_latency_ms_p95_std,candidate_loss_rate_mean,candidate_loss_rate_std,candidate_received_mbps_mean,candidate_received_mbps_std,primary_rank,candidate_role
0544fbe595d5a3c9,Amazon_Prime,Season3-TheExpanse,0,-30,2,-100,-97.3072222222,0.955379828803,2.69277777778,2.69277777778,-13,-10.6446333333,0.195020050251,2.35536666667,2.35536666667,1.04704596267,False,False,-1,46.2570944444,47.2570944444,654.541170597,152.052224425,0,0,0.0243528,0,1,nearest_observed_state
0544fbe595d5a3c9,Amazon_Prime,Season3-TheExpanse,0,-10,2,-100,-101.098086111,0.947786287647,-1.09808611111,1.09808611111,-13,-9.73287777778,0.156412019998,3.26712222222,3.26712222222,1.18374383117,False,False,-1,15.4654083333,16.4654083333,714.224016666,171.059003251,0.00225733634312,0.00319235567127,0.0242601333333,4.36834855933e-05,2,alternative_observed_state
0544fbe595d5a3c9,Amazon_Prime,Season3-TheExpanse,-5,-30,2,-100,-104.440277778,0.778210296406,-4.44027777778,4.44027777778,-13,-10.4053166667,0.294722106399,2.59468333333,2.59468333333,1.39172006573,False,False,-1,40.5935972222,41.5935972222,739.034718275,21.0147811304,0,0,0.0243793555556,3.7555226823e-05,3,alternative_observed_state
5017155ccec50de6,Amazon_Prime,animated-Ninjago,-5,-30,2,-104,-104.440277778,0.778210296406,-0.440277777778,0.440277777778,-13,-10.4053166667,0.294722106399,2.59468333333,2.59468333333,0.923210073669,False,False,-5,40.5935972222,45.5935972222,739.034718275,21.0147811304,0,0,0.0243793555556,3.7555226823e-05,1,nearest_observed_state
5017155ccec50de6,Amazon_Prime,animated-Ninjago,0,-10,2,-104,-101.098086111,0.947786287647,2.90191388889,2.90191388889,-13,-9.73287777778,0.156412019998,3.26712222222,3.26712222222,1.34242321014,False,False,-5,15.4654083333,20.4654083333,714.224016666,171.059003251,0.00225733634312,0.00319235567127,0.0242601333333,4.36834855933e-05,2,alternative_observed_state
5017155ccec50de6,Amazon_Prime,animated-Ninjago,0,-30,2,-104,-97.3072222222,0.955379828803,6.69277777778,6.69277777778,-13,-10.6446333333,0.195020050251,2.35536666667,2.35536666667,1.78381172221,False,False,-5,46.2570944444,51.2570944444,654.541170597,152.052224425,0,0,0.0243528,0,3,alternative_observed_state
586e06de07e8a2ae,Amazon_Prime,animated-Ninjago,0,-30,2,-100,-97.3072222222,0.955379828803,2.69277777778,2.69277777778,-14,-10.6446333333,0.195020050251,3.35536666667,3.35536666667,1.34541700398,False,False,4,46.2570944444,42.2570944444,654.541170597,152.052224425,0,0,0.0243528,0,1,nearest_observed_state
586e06de07e8a2ae,Amazon_Prime,animated-Ninjago,0,-10,2,-100,-101.098086111,0.947786287647,-1.09808611111,1.09808611111,-14,-9.73287777778,0.156412019998,4.26712222222,4.26712222222,1.53069592454,False,False,4,15.4654083333,11.4654083333,714.224016666,171.059003251,0.00225733634312,0.00319235567127,0.0242601333333,4.36834855933e-05,2,alternative_observed_state
586e06de07e8a2ae,Amazon_Prime,animated-Ninjago,-5,-30,2,-100,-104.440277778,0.778210296406,-4.44027777778,4.44027777778,-14,-10.4053166667,0.294722106399,3.59468333333,3.59468333333,1.64637649846,False,False,4,40.5935972222,36.5935972222,739.034718275,21.0147811304,0,0,0.0243793555556,3.7555226823e-05,3,alternative_observed_state
8918a157ff8020b1,Amazon_Prime,animated-Ninjago,0,-30,2,-97,-97.3072222222,0.955379828803,-0.307222222222,0.307222222222,-11,-10.6446333333,0.195020050251,0.355366666667,0.355366666667,0.145014902745,True,False,-7,46.2570944444,53.2570944444,654.541170597,152.052224425,0,0,0.0243528,0,1,nearest_observed_state
8918a157ff8020b1,Amazon_Prime,animated-Ninjago,0,-10,2,-97,-101.098086111,0.947786287647,-4.09808611111,4.09808611111,-11,-9.73287777778,0.156412019998,1.26712222222,1.26712222222,1.06476149932,False,False,-7,15.4654083333,22.4654083333,714.224016666,171.059003251,0.00225733634312,0.00319235567127,0.0242601333333,4.36834855933e-05,2,alternative_observed_state
8918a157ff8020b1,Amazon_Prime,animated-Ninjago,-5,-30,2,-97,-104.440277778,0.778210296406,-7.44027777778,7.44027777778,-11,-10.4053166667,0.294722106399,0.594683333333,0.594683333333,1.76624903886,False,False,-7,40.5935972222,47.5935972222,739.034718275,21.0147811304,0,0,0.0243793555556,3.7555226823e-05,3,alternative_observed_state
